0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I-34-10099,2024-03-14 01:14:48.319000+00:00,5,4,1,0.13,0,2024-03-14 01:14:48.319000+00:00,CA,0,0,0,424,,34,80,,,FALSE,,,0,FALSE,,
I-34-10100,2024-03-14 01:14:52.319000+00:00,5,4,1,0.13,0,2024-03-14 01:14:52.319000+00:00,CA,0,0,0,424,,34,80,,,FALSE,,,0,FALSE,,
I-34-10101,2024-03-14 01:15:14.428000+00:00,1,0,1,0.13,0,2024-03-14 01:15:14.428000+00:00,CR,0,0,0,424,,34,80,,,FALSE,,,0,FALSE,,
I-34-10102,2024-03-14 01:34:47.275000+00:00,2,1,1,0.13,0,2024-03-14 01:34:47.275000+00:00,CA,0,0,0,425,,34,80,,,FALSE,,,0,FALSE,,
I-34-10103,2024-03-14 01:39:35.802000+00:00,1,0.5,0.5,0.07,0,2024-03-14 01:39:35.802000+00:00,CA,0,0,0,425,,34,80,,,FALSE,,,0,FALSE,,
I-34-10104,2024-03-14 01:43:23.406000+00:00,5,2,3,0.39,0,2024-03-14 01:43:23.406000+00:00,CA,0,0,0,425,,34,80,,,FALSE,,,0,FALSE,,
I-34-10105,2024-03-14 01:45:20.914000+00:00,5,2,3,0.39,0,2024-03-14 01:45:20.914000+00:00,CA,0,0,0,425,,34,80,,,FALSE,,,0,FALSE,,
I-34-10106,2024-03-14 08:44:45.527000+00:00,6.5,0,6.5,0.85,0,2024-03-14 08:44:45.527000+00:00,CR,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10107,2024-03-14 09:19:37.283000+00:00,45,0,45,5.87,0,2024-03-14 09:19:37.283000+00:00,CR,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10108,2024-03-14 09:31:40.747000+00:00,20,0,20,2.61,0,2024-03-14 09:31:40.747000+00:00,Split Pay,15,5,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10109,2024-03-14 09:53:27.392000+00:00,11.5,0,11.5,1.5,0,2024-03-14 09:53:27.392000+00:00,CR,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10110,2024-03-14 09:54:52.691000+00:00,5,0.5,4.5,0.59,0,2024-03-14 09:54:52.691000+00:00,CA,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10111,2024-03-14 09:55:59.115000+00:00,1,0,1,0.13,0,2024-03-14 09:55:59.115000+00:00,CA,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10112,2024-03-14 10:14:55.144000+00:00,20,0,20,2.61,0,2024-03-14 10:14:55.144000+00:00,CA,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10113,2024-03-14 10:46:06.548000+00:00,29.5,0,29.5,3.85,0,2024-03-14 10:46:06.548000+00:00,CR,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10114,2024-03-14 11:07:54.243000+00:00,13,0,13,1.7,0,2024-03-14 11:07:54.243000+00:00,CA,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10115,2024-03-14 11:12:40.820000+00:00,10,1,9,1.17,0,2024-03-14 11:12:40.820000+00:00,CA,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10116,2024-03-14 11:30:54.790000+00:00,8,0,8,1.04,0,2024-03-14 11:30:54.790000+00:00,CA,0,0,0,426,,34,80,,,FALSE,,,0,FALSE,,
I-34-10117,2024-03-14 12:18:25.732000+00:00,5,0,5,0.65,0,2024-03-14 12:18:25.732000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10118,2024-03-14 12:29:37.434000+00:00,15,0,15,1.96,0,2024-03-14 12:29:37.434000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10119,2024-03-14 12:36:32.985000+00:00,5,0,5,0.65,0,2024-03-14 12:36:32.985000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10120,2024-03-14 12:48:37.947000+00:00,1,0,1,0.13,0,2024-03-14 12:48:37.947000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10121,2024-03-14 12:51:22.642000+00:00,5.5,0,5.5,0.72,0,2024-03-14 12:51:22.642000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10122,2024-03-14 12:56:07.124000+00:00,25,0,25,3.26,0,2024-03-14 12:56:07.124000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10123,2024-03-14 13:11:14.321000+00:00,3,0,3,0.39,0,2024-03-14 13:11:14.321000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10124,2024-03-14 13:30:38.361000+00:00,7,0,7,0.91,0,2024-03-14 13:30:38.361000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10125,2024-03-14 13:32:37.647000+00:00,7.5,0,7.5,0.98,0,2024-03-14 13:32:37.647000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10126,2024-03-14 13:34:27.026000+00:00,21,0,21,2.74,0,2024-03-14 13:34:27.026000+00:00,CA,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10127,2024-03-14 13:43:06.519000+00:00,10,0,10,1.3,0,2024-03-14 13:43:06.519000+00:00,CA,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10128,2024-03-14 13:43:33.144000+00:00,100,86,14,1.83,0,2024-03-14 13:43:33.144000+00:00,CA,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10129,2024-03-14 13:47:27.919000+00:00,20.5,0,20.5,2.67,0,2024-03-14 13:47:27.919000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10130,2024-03-14 13:49:53.160000+00:00,2,0,2,0.26,0,2024-03-14 13:49:53.160000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10131,2024-03-14 13:51:12.276000+00:00,2,0,2,0.26,0,2024-03-14 13:51:12.276000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10132,2024-03-14 14:02:05.592000+00:00,40.5,0,40.5,5.28,0,2024-03-14 14:02:05.592000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10133,2024-03-14 14:07:09.355000+00:00,2,0,2,0.26,0,2024-03-14 14:07:09.355000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10134,2024-03-14 14:14:23.046000+00:00,6,0,6,0.78,0,2024-03-14 14:14:23.046000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10135,2024-03-14 14:17:24.879000+00:00,11,0,11,1.43,0,2024-03-14 14:17:24.879000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10136,2024-03-14 14:22:21.194000+00:00,4,0,4,0.52,0,2024-03-14 14:22:21.194000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
I-34-10137,2024-03-14 14:34:38.178000+00:00,4,0,4,0.52,0,2024-03-14 14:34:38.178000+00:00,CR,0,0,0,428,,34,80,,,FALSE,,,0,FALSE,,
